HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,SpeseTot,Deck,CabinNum,Side,GroupId,GroupSize,IsSolo
Europa,0.0,TRAPPIST-1e,39.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,B,0,P,0001,1,1
Earth,0.0,TRAPPIST-1e,24.0,0.0,109.0,9.0,25.0,549.0,44.0,True,736.0,F,0,S,0002,1,1
Europa,0.0,TRAPPIST-1e,58.0,1.0,43.0,3576.0,0.0,6715.0,49.0,False,10383.0,A,0,S,0003,2,0
Europa,0.0,TRAPPIST-1e,33.0,0.0,0.0,1283.0,371.0,3329.0,193.0,False,5176.0,A,0,S,0003,2,0
Earth,0.0,TRAPPIST-1e,16.0,0.0,303.0,70.0,151.0,565.0,2.0,True,1091.0,F,1,S,0004,1,1
Earth,0.0,PSO J318.5-22,44.0,0.0,0.0,483.0,0.0,291.0,0.0,True,774.0,F,0,P,0005,1,1
Earth,0.0,TRAPPIST-1e,26.0,0.0,42.0,1539.0,3.0,0.0,0.0,True,1584.0,F,2,S,0006,2,0
Earth,1.0,TRAPPIST-1e,28.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,G,0,S,0006,2,0
Earth,0.0,TRAPPIST-1e,35.0,0.0,0.0,785.0,17.0,216.0,0.0,True,1018.0,F,3,S,0007,1,1
Europa,1.0,55 Cancri e,14.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,B,1,P,0008,3,0
Europa,1.0,TRAPPIST-1e,34.0,0.0,0.0,0.0,,0.0,0.0,True,0.0,B,1,P,0008,3,0
Europa,0.0,55 Cancri e,45.0,0.0,39.0,7295.0,589.0,110.0,124.0,True,8157.0,B,1,P,0008,3,0
Mars,0.0,TRAPPIST-1e,32.0,0.0,73.0,0.0,1123.0,0.0,113.0,True,1309.0,F,1,P,0009,1,1
Earth,0.0,TRAPPIST-1e,48.0,0.0,719.0,1.0,65.0,0.0,24.0,False,809.0,G,1,S,0010,1,1
Earth,0.0,TRAPPIST-1e,28.0,0.0,8.0,974.0,12.0,2.0,7.0,True,1003.0,F,2,P,0011,1,1
Earth,0.0,TRAPPIST-1e,31.0,0.0,32.0,0.0,876.0,0.0,0.0,False,908.0,,,,0012,1,1
Mars,0.0,55 Cancri e,27.0,0.0,1286.0,122.0,,0.0,0.0,False,1408.0,F,3,P,0014,1,1
Earth,0.0,55 Cancri e,24.0,0.0,0.0,1.0,0.0,0.0,637.0,False,638.0,F,4,P,0015,1,1
